rank,status,n_props,prop_diameter_in,prop_pitch_ratio,prop_family,seed_low_speed_rpm,seed_cruise_rpm,blown_span_fraction,baseline_required_veff_mps,baseline_actual_veff_mps,baseline_low_speed_power_w,baseline_cruise_power_w,baseline_cruise_drag_n,optimized_root_chord_m,optimized_tip_chord_m,optimized_taper,optimized_wing_area_m2,optimized_mac_m,optimized_aspect_ratio,optimized_washout_deg,optimized_flap_span_fraction,optimized_flap_chord_fraction,recommended_flap_deflection_deg,optimized_aileron_span_fraction,optimized_aileron_chord_fraction,recommended_aileron_deflection_deg,horizontal_tail_area_m2,vertical_tail_area_m2,tail_arm_m,elevator_chord_fraction,rudder_chord_fraction,refined_low_speed_cl_required,refined_low_speed_required_veff_mps,refined_low_speed_power_proxy_w,propulsor_veff_margin_mps,cruise_alpha_deg,cruise_lift_n,cruise_drag_n,cruise_cl,cruise_cd,cruise_cm,static_cm_alpha_per_deg,section_re_low_speed,section_re_cruise,clean_section_clmax_raw,flapped_section_clmax_raw,flap_delta_cl_raw,aileron_delta_cl_per_deg,elevator_delta_cm_per_deg,rudder_delta_cn_per_deg,geometry_score,top_view_png,three_view_png,wireframe_png,polar_png,mesh_npz
1,SUCCESS,6,5.5,0.5,cruise,12303.2,10978.5,0.33528000000000013,11.783,17.561,230.829,143.836,6.048,0.4600000045555952,0.28983937274986993,0.6300855866944675,0.7498393773054651,0.38135543153599993,5.33447578383244,-2.49738766739777,0.41999999578992214,0.19999999770448232,35.24177012195292,0.16000001427356758,0.16000001226264535,14.0,0.11818821344642456,0.037189939851008956,1.2097454873448,0.28,0.3,6.672619508357193,11.291224738263297,215.60888237719504,6.269775261736703,7.0,48.806688417334264,3.036851080596609,1.0626806396825803,0.06612214337006649,-0.3018290916226946,-0.02122855397081641,291426.1384653143,258099.6705146961,1.9246760842504347,1.9393090380003863,0.01463295374995166,0.0003800787006270722,-0.0031569330793730734,0.00018692366847630559,0.8099837814587464,outputs/stage3_visuals/rank01_n6_d5p5_pd0p50_cruise_top_view.png,outputs/stage3_visuals/rank01_n6_d5p5_pd0p50_cruise_three_view.png,outputs/stage3_visuals/rank01_n6_d5p5_pd0p50_cruise_wireframe.png,outputs/stage3_visuals/rank01_n6_d5p5_pd0p50_cruise_polars.png,outputs/stage3_visuals/rank01_n6_d5p5_pd0p50_cruise_mesh.npz
2,SUCCESS,8,5.5,0.4,cruise,11331.5,10209.0,0.44704000000000016,10.398,15.815,197.0,125.06,6.048,0.46000000454980694,0.2871696984795299,0.6242819470416686,0.7471697030293368,0.3802478435532104,5.353536129452701,-2.498079685831704,0.4199999957586027,0.19999999769350113,35.257780779824955,0.1600000109815044,0.16000000960393287,14.0,0.11748454724501806,0.03707620139072042,1.2091363139542657,0.28,0.3,6.696461107639965,10.002273452443337,185.1418004951567,5.812726547556663,7.09375,48.995057316078125,3.0590380682409735,1.070593777418179,0.06684321440051463,-0.30290073393277217,-0.021020585478614823,257408.56717559957,257350.05986336063,1.9098932374194195,1.9237032655230233,0.013810028103603766,0.0003783494208254336,-0.0031569332800927947,0.00018692368048221677,0.8104965588181935,outputs/stage3_visuals/rank02_n8_d5p5_pd0p40_cruise_top_view.png,outputs/stage3_visuals/rank02_n8_d5p5_pd0p40_cruise_three_view.png,outputs/stage3_visuals/rank02_n8_d5p5_pd0p40_cruise_wireframe.png,outputs/stage3_visuals/rank02_n8_d5p5_pd0p40_cruise_polars.png,outputs/stage3_visuals/rank02_n8_d5p5_pd0p40_cruise_mesh.npz
3,SUCCESS,8,5.5,0.4,balanced,10560.1,10193.4,0.44704000000000016,10.398,15.813,182.312,133.69,6.048,0.460000004549806,0.2871700418247487,0.6242826934443121,0.7471700463745548,0.3802479856905883,5.3535336693553806,-2.4980795966835956,0.41999999575874103,0.19999999769354124,35.257775616744965,0.1600000109946796,0.16000000961572516,14.0,0.11748463755253705,0.037076216031075755,1.2091363921298237,0.28,0.3,6.696458030431624,10.002270699661192,171.33785314038835,5.810729300338808,7.09375,48.99507490909774,3.0590403222650946,1.07059366986806,0.06684323293646068,-0.3029008382624774,-0.02102060767651326,257408.5925525274,257350.1560613098,1.9098932480117323,1.9237032769683404,0.0138100289566081,0.0003783496440875686,-0.0031569332800670683,0.00018692368048039428,0.810499758488349,outputs/stage3_visuals/rank03_n8_d5p5_pd0p40_balanced_top_view.png,outputs/stage3_visuals/rank03_n8_d5p5_pd0p40_balanced_three_view.png,outputs/stage3_visuals/rank03_n8_d5p5_pd0p40_balanced_wireframe.png,outputs/stage3_visuals/rank03_n8_d5p5_pd0p40_balanced_polars.png,outputs/stage3_visuals/rank03_n8_d5p5_pd0p40_balanced_mesh.npz
4,SUCCESS,4,6.0,0.5,balanced,11277.8,10619.1,0.24384000000000003,13.597,19.013,220.731,155.579,6.048,0.4600000045593605,0.29232134921280695,0.6354811876422154,0.7523213537721675,0.38238942725493724,5.316876863781482,-2.496746368390758,0.4199999959023171,0.1999999977364143,35.233254222367705,0.16000001893290045,0.1600000162885735,14.0,0.11884506169968416,0.03729550640781813,1.2103141849902155,0.28,0.3,6.650605930638093,12.983795064338569,205.02037234529277,6.029204935661433,7.0,48.93505584242803,3.053234331304377,1.0619604522277573,0.06625953634690755,-0.30273256932893905,-0.021409301108631817,336019.9336383252,258799.47424712605,1.9446683657139612,1.9603769809502198,0.01570861523625866,0.00038167539994629136,-0.0031569328897339604,0.0001869236570339233,0.810793145967913,outputs/stage3_visuals/rank04_n4_d6p0_pd0p50_balanced_top_view.png,outputs/stage3_visuals/rank04_n4_d6p0_pd0p50_balanced_three_view.png,outputs/stage3_visuals/rank04_n4_d6p0_pd0p50_balanced_wireframe.png,outputs/stage3_visuals/rank04_n4_d6p0_pd0p50_balanced_polars.png,outputs/stage3_visuals/rank04_n4_d6p0_pd0p50_balanced_mesh.npz
5,SUCCESS,4,6.0,0.5,cruise,12147.0,10826.2,0.24384000000000003,13.597,19.013,240.476,151.216,6.048,0.4600000045593605,0.29232134921280695,0.6354811876422154,0.7523213537721675,0.38238942725493724,5.316876863781482,-2.496746368390758,0.4199999959023171,0.1999999977364143,35.233254222367705,0.16000001893290045,0.1600000162885735,14.0,0.11884506169968416,0.03729550640781813,1.2103141849902155,0.28,0.3,6.650605930638093,12.983795064338569,223.3600131386467,6.029204935661433,7.0,48.93505584242803,3.053234331304377,1.0619604522277573,0.06625953634690755,-0.30273256932893905,-0.021409301108631817,336019.9336383252,258799.47424712605,1.9446683657139612,1.9603769809502198,0.01570861523625866,0.00038167539994629136,-0.0031569328897339604,0.0001869236570339233,0.810793145967913,outputs/stage3_visuals/rank05_n4_d6p0_pd0p50_cruise_top_view.png,outputs/stage3_visuals/rank05_n4_d6p0_pd0p50_cruise_three_view.png,outputs/stage3_visuals/rank05_n4_d6p0_pd0p50_cruise_wireframe.png,outputs/stage3_visuals/rank05_n4_d6p0_pd0p50_cruise_polars.png,outputs/stage3_visuals/rank05_n4_d6p0_pd0p50_cruise_mesh.npz
6,SUCCESS,10,5.5,0.4,balanced,9695.8,9564.5,0.5588000000000002,9.471,14.622,171.216,131.177,6.048,0.46000000454142087,0.284677995555519,0.6188652016195471,0.7446780000969399,0.3792184402966603,5.371449135706027,-2.4987276486163186,0.4199999958099832,0.1999999977073711,35.276096884668775,0.16000001288470864,0.16000001132206146,14.0,0.11683046616198735,0.036969868559577235,1.2085701421631632,0.28,0.3,6.718867559524425,9.140960504668573,161.7699830991182,5.4810394953314265,7.1875,49.19350946668286,3.082667119323979,1.0785269608683277,0.06758492401980284,-0.3042338930452862,-0.020864171055741176,234605.8266357675,256653.36428917618,1.9028781029542492,1.914068556675308,0.011190453721058757,0.0003767242609074518,-0.00315693346438686,0.00018692369135291713,0.8109816033644734,outputs/stage3_visuals/rank06_n10_d5p5_pd0p40_balanced_top_view.png,outputs/stage3_visuals/rank06_n10_d5p5_pd0p40_balanced_three_view.png,outputs/stage3_visuals/rank06_n10_d5p5_pd0p40_balanced_wireframe.png,outputs/stage3_visuals/rank06_n10_d5p5_pd0p40_balanced_polars.png,outputs/stage3_visuals/rank06_n10_d5p5_pd0p40_balanced_mesh.npz
7,SUCCESS,10,5.5,0.4,cruise,10374.5,9474.6,0.5588000000000002,9.471,14.62,183.85,119.726,6.048,0.4600000045414413,0.28467835089667465,0.6188659741002851,0.744678355438116,0.3792185867982193,5.371446572589965,-2.4987275560675255,0.4199999958088451,0.1999999977070382,35.27609137786963,0.16000001282283552,0.16000001123684254,14.0,0.11683055925592573,0.036969883736032584,1.2085702227390207,0.28,0.3,6.718864353455277,9.140957994027062,173.70688675596207,5.4790420059729374,7.1875,49.193527250808486,3.082669402307879,1.0785268361163958,0.06758494182198119,-0.3042339630863689,-0.0208641869765141,234605.85283337647,256653.4634407838,1.9028781070496867,1.9140685658543377,0.011190458804650971,0.00037672449303315417,-0.003156933464361782,0.00018692369135229567,0.8109850241627042,outputs/stage3_visuals/rank07_n10_d5p5_pd0p40_cruise_top_view.png,outputs/stage3_visuals/rank07_n10_d5p5_pd0p40_cruise_three_view.png,outputs/stage3_visuals/rank07_n10_d5p5_pd0p40_cruise_wireframe.png,outputs/stage3_visuals/rank07_n10_d5p5_pd0p40_cruise_polars.png,outputs/stage3_visuals/rank07_n10_d5p5_pd0p40_cruise_mesh.npz
8,SUCCESS,4,7.0,0.5,balanced,8314.0,8154.3,0.28447999999999996,12.679,16.768,190.582,147.799,6.048,0.460000004557981,0.29146416312071427,0.6336177396362971,0.7514641676786953,0.38203185857039246,5.322941760957372,-2.4969676251815525,0.4199999958746325,0.19999999772846108,35.23285314026112,0.16000001714611936,0.16000001530422872,14.0,0.11861792089166433,0.03725906652686102,1.210117522213716,0.28,0.3,6.658192196440383,12.124161033693857,177.4142872941798,4.643838966306143,7.0,48.890815049829065,3.0475884415937444,1.062210656401974,0.06621245556428247,-0.3024255332207189,-0.021348796178599055,313479.2443261478,258557.4733418402,1.9345039275877198,1.949767704997465,0.015263777409745272,0.0003811251501017807,-0.003156932955541409,0.00018692366088072203,0.8127768507410432,outputs/stage3_visuals/rank08_n4_d7p0_pd0p50_balanced_top_view.png,outputs/stage3_visuals/rank08_n4_d7p0_pd0p50_balanced_three_view.png,outputs/stage3_visuals/rank08_n4_d7p0_pd0p50_balanced_wireframe.png,outputs/stage3_visuals/rank08_n4_d7p0_pd0p50_balanced_polars.png,outputs/stage3_visuals/rank08_n4_d7p0_pd0p50_balanced_mesh.npz
9,SUCCESS,4,7.0,0.5,cruise,8919.4,8189.5,0.28447999999999996,12.679,16.765,205.82,139.035,6.048,0.46000000455798173,0.2914647465774911,0.6336190080205809,0.7514647511354728,0.382032101789011,5.322937628086945,-2.496967474499001,0.4199999958746516,0.19999999772846727,35.23284485083202,0.16000001715240242,0.16000001530561847,14.0,0.11861807539490295,0.03725909133697323,1.2101176559839562,0.28,0.3,6.658187026846789,12.124155038364256,191.59931011443317,4.640844961635745,7.0,48.89084522210262,3.0475922923292535,1.0622104871867097,0.06621248781598171,-0.302425745694397,-0.021348838373657558,313479.28888727084,258557.63795112623,1.9345039478902575,1.9497677248941785,0.015263777003921009,0.00038112552507852304,-0.0031569329554967367,0.00018692366087767602,0.8127820261898441,outputs/stage3_visuals/rank09_n4_d7p0_pd0p50_cruise_top_view.png,outputs/stage3_visuals/rank09_n4_d7p0_pd0p50_cruise_three_view.png,outputs/stage3_visuals/rank09_n4_d7p0_pd0p50_cruise_wireframe.png,outputs/stage3_visuals/rank09_n4_d7p0_pd0p50_cruise_polars.png,outputs/stage3_visuals/rank09_n4_d7p0_pd0p50_cruise_mesh.npz
10,SUCCESS,6,7.0,0.4,cruise,7806.2,7337.9,0.42671999999999993,10.607,14.448,167.049,118.767,6.048,0.4600000045505663,0.28794915009163863,0.625976407050199,0.7479491546422049,0.38057072456282404,5.347957110685516,-2.4978774026556363,0.419999995854208,0.19999999772317212,35.249812813036684,0.1600000225100915,0.16000001933585048,14.0,0.11768968690182348,0.03710942922295569,1.2093138985095533,0.28,0.3,6.689482601977564,10.193959437977778,156.763305323398,4.254040562022222,7.09375,49.03515239168829,3.064176546920496,1.070353278892687,0.06688571879830353,-0.303148511374425,-0.021072785569646757,262564.370088794,257568.58430356873,1.9120526374274815,1.9259977950211231,0.013945157593641566,0.0003788556389974468,-0.0031569332217509386,0.00018692367679993052,0.8132627509987057,outputs/stage3_visuals/rank10_n6_d7p0_pd0p40_cruise_top_view.png,outputs/stage3_visuals/rank10_n6_d7p0_pd0p40_cruise_three_view.png,outputs/stage3_visuals/rank10_n6_d7p0_pd0p40_cruise_wireframe.png,outputs/stage3_visuals/rank10_n6_d7p0_pd0p40_cruise_polars.png,outputs/stage3_visuals/rank10_n6_d7p0_pd0p40_cruise_mesh.npz
11,SUCCESS,4,8.0,0.5,cruise,6858.9,6462.9,0.32512,11.944,15.14,182.558,130.706,6.048,0.4600000045572983,0.29059654043135563,0.6317316033747093,0.7505965449886539,0.3816704338215335,5.32909460709077,-2.497191817627863,0.4199999957615068,0.19999999769510865,35.234487561765874,0.1600000084058271,0.1600000073753114,14.0,0.11838832486823904,0.03722216256660145,1.2099187386018435,0.28,0.3,6.665888473039119,11.437230765889007,170.32351526316316,3.7027692341109937,7.0,48.84589971997939,3.0418558513729432,1.0624615329839429,0.06616430139465629,-0.30210701284960284,-0.021285035030498084,295438.38201458356,258312.86266926987,1.9264612380316952,1.9412082405308377,0.014747002499142514,0.0003805668826562853,-0.0031569330218787677,0.0001869236651162841,0.8144450266347366,outputs/stage3_visuals/rank11_n4_d8p0_pd0p50_cruise_top_view.png,outputs/stage3_visuals/rank11_n4_d8p0_pd0p50_cruise_three_view.png,outputs/stage3_visuals/rank11_n4_d8p0_pd0p50_cruise_wireframe.png,outputs/stage3_visuals/rank11_n4_d8p0_pd0p50_cruise_polars.png,outputs/stage3_visuals/rank11_n4_d8p0_pd0p50_cruise_mesh.npz
