airfoil,flap_deflection_deg,cmu,veff_mps,reynolds,reynolds_inf,q_ratio,cl_equiv_max,alpha_at_clmax_deg,cd_equiv_at_alpha0,cm_equiv_at_alpha0,cx_equiv_min,alpha_at_cxmin_deg,wing_cl_ref_max,wing_alpha_at_clmax_deg,wing_cd_ref_at_alpha0,wing_cm_ref_at_alpha0,wing_cx_ref_min,wing_alpha_at_cxmin_deg
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.9270856088396309,13.400000000000002,0.020377045416124215,-0.24582205787248135,-0.5937775857566316,16.0,1.9109248238673657,13.400000000000002,0.020326435999070882,-0.24521152230200394,-0.5893494720969652,16.0
s1210,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.831205532053193,10.400000000000002,0.07409054014118148,-1.3388642949627467,-2.5083546588578574,16.0,5.221571998812117,13.0,0.05039214626764239,-0.8566140599409908,-1.663571686584476,16.0
s1210,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.737888128209798,12.400000000000002,0.08922380964875948,-1.7364970910984432,-2.819127519773941,16.0,5.731896341115346,13.200000000000003,0.058848617268639575,-1.078811266423555,-1.837272263190392,16.0
s1210,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.937730405792907,12.600000000000001,0.09455583521223357,-1.925363074054796,-2.8863971186571042,16.0,5.8443039723576575,13.400000000000002,0.06182815315376797,-1.18434957770438,-1.8748823954528457,16.0
s1210,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.984579236265883,12.8,0.09579661906492684,-2.015457672102125,-2.8987182728079928,16.0,5.870728534350172,13.400000000000002,0.06252150317085024,-1.2346944390972774,-1.881774810724503,16.0
s1210,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.996066124227934,12.8,0.09537309425253711,-2.058728339310684,-2.898319724298091,16.0,5.877210591056617,13.400000000000002,0.06228483750581115,-1.2588740879361522,-1.8815546348436338,16.0
s1210,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.295337499270296,-6.0,2.773336694554296,-0.2399283042492903,-4.604340117678858,13.400000000000002,2.0247802946821176,13.600000000000001,1.6622677559207517,-0.2411881598662613,-2.9368649798541013,13.600000000000001
s1210,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,8.258679710299615,-6.0,7.2647374356644345,-0.7573183289448621,-17.081119593257952,13.0,5.396572128126736,13.600000000000001,3.190035715497913,-0.6600731339776418,-7.4918238013001535,13.600000000000001
s1210,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.875011727883635,-6.0,8.067627599300325,-0.8369163307930041,-18.47695384425243,12.8,5.821463719896405,13.600000000000001,3.4626113181469433,-0.7756396346512534,-8.002105101469336,13.600000000000001
s1210,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.976883427503832,-6.0,8.240841391859686,-0.8535289933516734,-18.772895552060206,13.0,5.906419000421332,13.600000000000001,3.5218782529375314,-0.8234248526740873,-8.118615329405765,13.600000000000001
s1210,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.99547716604771,-6.0,8.279435273103685,-0.856946498217666,-18.81836577524328,13.600000000000001,5.92522151012043,13.600000000000001,3.5350953494631203,-0.8447086182648118,-8.149015615342043,13.8
s1210,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.999081263047636,-6.0,8.283401620338026,-0.8570674525411006,-18.79223111407761,13.8,5.929640470128127,13.600000000000001,3.536330520097602,-0.854421031366241,-8.149203547236684,14.0
e423,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.4702424476477183,16.0,0.05675210787455706,-0.18352598445695112,-0.5378310566155754,16.0,1.4630113169215606,16.0,0.05670245871062662,-0.18336542810003234,-0.5351858284865705,16.0
e423,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.969360701376384,11.8,0.08695408933797742,-1.2772120234267703,-2.4633056386549965,16.0,4.97736673227553,13.200000000000003,0.0736289751159997,-0.7946777430166818,-1.6137170667992087,16.0
e423,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.773833752266741,12.0,0.09919710522574471,-1.6314547191282986,-2.777360190062226,16.0,5.4910601020094925,16.0,0.08047037239425772,-0.9926285613776087,-1.789250337537984,16.0
e423,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.945645404227193,12.2,0.10225103535994538,-1.7911094544235338,-2.8549220751450264,16.0,5.626615300844428,16.0,0.08217690855346413,-1.0818436274653744,-1.8326114122198742,16.0
e423,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.9861829100062,12.2,0.10191944177928057,-1.863954732438176,-2.874959147201357,16.0,5.663103391844824,16.0,0.08199161406072533,-1.1225495688236258,-1.843815535850478,16.0
e423,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.996352871556946,12.2,0.10043338241179194,-1.8974412877817803,-2.879604983590113,16.0,5.673470060864782,16.0,0.08116120408624017,-1.1412618559519734,-1.8464142127456225,16.0
e423,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.068880827066229,13.600000000000001,1.5801479069730238,-0.16677692078576506,-4.151963616348202,13.600000000000001,1.760693978204893,16.0,0.9623977222768326,-0.17252869929011874,-2.6470013227540714,13.8
e423,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,8.288583429591759,-6.0,5.927216486770635,-0.5947489810940534,-17.466699057914465,13.200000000000003,5.243931778647872,12.8,2.435025487396242,-0.5614277220322187,-7.476928496207151,13.400000000000002
e423,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.877519919351746,-6.0,6.510703847703353,-0.6561516294234778,-18.88669591339191,15.200000000000003,5.678344291704715,13.400000000000002,2.6333936888541247,-0.6611951293254932,-8.064025198895688,15.200000000000003
e423,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.976178211194053,-6.0,6.581732685039023,-0.6694015812856002,-17.824337104378326,15.400000000000002,5.774072063109762,15.8,2.6578908519692783,-0.7013235996277046,-7.724865224986129,15.400000000000002
e423,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.995024086153535,-6.0,6.554563354399189,-0.6726904220561597,-17.619177649324342,14.600000000000001,5.8019616516021975,16.0,2.6487074010173726,-0.7187086587066717,-7.648439104164958,14.8
e423,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.998910429392108,-6.0,6.510381658159042,-0.6735805086316089,-17.640063328692516,14.600000000000001,5.8091608694531605,16.0,2.6335619979186644,-0.7264920017856106,-7.652887524836039,14.8
dae51,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.4180459611688618,12.0,0.019107333521601134,-0.1096025686043981,-0.4651296077548857,16.0,1.4115531882423642,12.0,0.0190998174698853,-0.10955945538962703,-0.46407965687534414,16.0
dae51,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,6.839691032412609,13.400000000000002,0.05562362297132055,-0.636642880734073,-2.3290185399526844,16.0,4.427654144577538,12.8,0.03951263606535858,-0.4041126950116064,-1.506568648943131,16.0
dae51,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.235926444386088,13.600000000000001,0.07304116731392542,-0.931055992872841,-2.8278112098776056,16.0,5.213403145167311,12.400000000000002,0.04924555984375909,-0.568630742070232,-1.7853300931684066,16.0
dae51,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.72311819839409,13.600000000000001,0.0852441128118123,-1.1604910864278974,-2.990490763944605,16.0,5.49377047089933,12.2,0.05606456578790228,-0.6968390723467355,-1.8762688527850095,16.0
dae51,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.897754053107088,13.600000000000001,0.0939573436364965,-1.3408474279997205,-3.040966952483938,16.0,5.595323437380458,12.2,0.060933519172766265,-0.7976221960167538,-1.9044936113170086,16.0
dae51,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.961694884099138,13.400000000000002,0.10010563783064516,-1.4817164342963771,-3.053429150116843,16.0,5.632478238040221,12.2,0.06436918596854903,-0.8763397967361642,-1.9114665595201243,16.0
dae51,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.9019137921133704,14.8,2.816994855144792,-0.1714973464978702,-4.333320244856434,13.400000000000002,1.6623378368359893,12.600000000000001,1.691071065184421,-0.1463102928022269,-2.7354630559025948,13.600000000000001
dae51,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.8169442402575555,14.200000000000003,13.773938579090032,-0.8512982383165905,-17.919438584986512,12.400000000000002,4.880424279480305,13.400000000000002,5.3796460581275705,-0.4924671288409368,-7.622606045713179,13.400000000000002
dae51,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.719185095040576,14.200000000000003,16.97510397803832,-1.0491964198919872,-20.302288708088568,8.600000000000001,5.497686875410864,13.200000000000003,6.456825962930143,-0.6246256500035652,-8.40687038727838,13.200000000000003
dae51,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.927770894191532,14.200000000000003,17.90488189483023,-1.109348462939541,-21.161079973058587,7.600000000000001,5.678985519199436,12.8,6.771289505626099,-0.6960767591303615,-8.606189132667204,13.0
dae51,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.980390799922088,14.200000000000003,17.669776565578463,-1.1039799482833934,-21.479412075551583,7.200000000000001,5.737194571073484,12.8,6.694410972431249,-0.7345900530193372,-8.66849587573565,13.0
dae51,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.994469467020316,14.200000000000003,16.934967485604552,-1.070110671963994,-21.612911797074613,7.200000000000001,5.756761255153814,12.600000000000001,6.449418450942026,-0.7547214023504966,-8.695275171408047,12.8
naca0012,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,0.9854956102382655,10.400000000000002,0.017308497476367774,8.427269441583943e-17,-0.37592554395956324,16.0,0.983305144814872,10.400000000000002,0.017308497476367774,8.427269441583943e-17,-0.37550478815942,16.0
naca0012,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,5.971252932209886,12.400000000000002,0.055945756789420174,-3.484298028880724e-17,-2.168410173351967,16.0,3.627655964928188,11.0,0.03889899797965069,1.7710855393505716e-17,-1.3774342511633608,16.0
naca0012,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,7.71923280587873,13.200000000000003,0.07730008190931423,2.0121138851401778e-15,-2.817637504086848,16.0,4.5924840054007685,13.400000000000002,0.05083179485617729,1.1615503517501499e-15,-1.7402394863227082,16.0
naca0012,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.456133607609834,13.600000000000001,0.09611247220700662,8.676952848554763e-16,-2.931625724051621,16.0,5.029434820719261,10.8,0.06134415855411356,5.22049237936258e-16,-1.8039921821548968,16.0
naca0012,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.766335772890395,14.0,0.11355076215715092,1.966835331415047e-15,-2.979899871395679,16.0,5.250360255196794,10.8,0.0710886749778702,1.1362486959295441e-15,-1.8309968506003909,16.0
naca0012,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.898113539545973,14.400000000000002,0.13008424676367458,3.1788381462190444e-16,-2.9891410965719762,16.0,5.357965336925819,10.600000000000001,0.08032758617563159,2.1481458838184463e-16,-1.8361771495828667,16.0
naca0012,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.6509542773339887,14.200000000000003,2.6001905004940906,-0.09731425325305594,-4.032200982427807,13.400000000000002,1.2825161761594246,10.8,1.5632331602899103,-0.05824616397241291,-2.5247489094321494,13.600000000000001
naca0012,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.371654208149788,15.200000000000003,13.892714313223358,-0.5265383180001119,-18.275496232493726,12.400000000000002,4.310894208245604,13.200000000000003,5.361831282013593,-0.20229879632673892,-7.5896927019483496,13.200000000000003
naca0012,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.494677636757906,14.600000000000001,18.115005042025818,-0.6884428016214237,-21.551374105795524,9.200000000000001,5.116436772627839,13.600000000000001,6.78225403643852,-0.2565821315997574,-8.711647987486936,13.0
naca0012,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.83822564793421,14.400000000000002,20.211906135073136,-0.7672923784436938,-23.004941717018134,7.200000000000001,5.403879024064407,14.0,7.489507980763149,-0.2830188177308129,-9.063348789592347,12.600000000000001
naca0012,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.946256257694623,14.400000000000002,21.273661313368294,-0.8051394401377454,-23.65890950490275,6.4,5.511684660353309,14.400000000000002,7.849391063835695,-0.2957081805880186,-9.184437442195863,12.0
naca0012,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.981642783517817,14.400000000000002,21.73369657727482,-0.8199123845089067,-23.932505905563595,6.200000000000001,5.553787135508598,14.600000000000001,8.00732725182843,-0.3006612533856064,-9.248280030764445,9.0
naca2412,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.2656704486656216,11.8,0.01734366860483794,-0.06671078850697314,-0.40862028203990475,16.0,1.26104461195002,11.8,0.01734088190438091,-0.06670006972601297,-0.4080078231698119,16.0
naca2412,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,6.546912007701618,14.400000000000002,0.056508757059703374,-0.3449904582575859,-2.1428952271959654,16.0,4.156663405707819,13.400000000000002,0.039229120032572805,-0.22221346795761,-1.3776404103892306,16.0
naca2412,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.050993916219468,14.8,0.0769575991116247,-0.48905233115458974,-2.6355445566832754,16.0,5.000578669716285,13.0,0.05065593297077674,-0.3027152425295582,-1.6529632656280242,16.0
naca2412,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.624095068829691,15.0,0.09392314501085253,-0.6194450705844684,-2.8166462932034966,16.0,5.345273949280305,12.400000000000002,0.06013628001895683,-0.37557870532056425,-1.7541927599289633,16.0
naca2412,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.848935295831092,14.8,0.1087645132820623,-0.7422347674469183,-2.8871897824538157,16.0,5.487820319229334,12.2,0.06842963660867357,-0.4441935879252729,-1.7936301856067136,16.0
naca2412,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.938894247978894,14.8,0.12195175463377807,-0.8582960163751858,-2.9140713783890053,16.0,5.546411012246609,12.0,0.07579866707584007,-0.5090486138247381,-1.8086608700623092,16.0
naca2412,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.7433172588818204,14.600000000000001,2.6333032536190797,-0.11638632517707181,-4.070774579350277,13.200000000000003,1.4937440654125758,12.600000000000001,1.5823169627981837,-0.09630845359692532,-2.5640749779365724,13.400000000000002
naca2412,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.500048199313546,14.200000000000003,13.6959081379391,-0.6084789441238249,-17.845496078669076,12.600000000000001,4.623616898054286,13.600000000000001,5.304743764491742,-0.3237059955115781,-7.490589913715571,13.400000000000002
naca2412,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.585538958868035,14.0,17.240918708376434,-0.7568071665642077,-20.687843877660104,9.4,5.325103763695637,13.400000000000002,6.497885633956791,-0.40563819177129135,-8.451022189244597,13.0
naca2412,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.878094068273393,14.200000000000003,14.17180812988758,-0.5709215028746045,-21.791662579614304,7.600000000000001,5.558241220518713,13.200000000000003,5.472666378758651,-0.3724598316002633,-8.72899187637514,12.8
naca2412,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.962466548556085,14.200000000000003,10.454171867736566,-0.4105294119420274,-22.22187206771835,7.0,5.641410657588104,13.0,4.229534635741923,-0.3461295244071809,-8.818096412432828,12.400000000000002
naca2412,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.988050048919161,14.200000000000003,9.18581218656194,-0.35340140526053976,-22.382261296180193,6.600000000000001,5.672363583743003,12.8,3.8072266140843323,-0.35291765668906694,-8.848779713008128,12.400000000000002
